	Node1	Node2
443	PF00664	COG1132
444	COG1132	PF00005
445	COG1132	PF00664
446	PF00005	PF00664
447	PF00005	COG1132
448	PF00664	PF00005
449	PF00664	COG1132
450	COG1132	PF00005
451	COG1132	PF00664
452	PF00005	PF00664
453	PF00005	COG1132
454	PF00664	PF00005
455	PF00664	COG1132
456	COG1132	PF00005
457	COG1132	PF00664
458	PF00005	COG1131
459	COG1131	PF00005
460	PF00005	PF00664
461	PF00005	COG1132
462	PF00664	PF00005
463	PF00664	COG1132
464	COG1132	PF00005
465	COG1132	PF00664
466	COG0619	PF02361
467	PF02361	COG0619
468	PF00005	PF00664
469	PF00005	COG1132
470	PF00664	PF00005
471	PF00664	COG1132
472	COG1132	PF00005
473	COG1132	PF00664
474	PF00005	PF00664
475	PF00005	COG1132
476	PF00664	PF00005
477	PF00664	COG1132
478	COG1132	PF00005
479	COG1132	PF00664
480	PF00005	PF00664
481	PF00005	COG1132
482	PF00664	PF00005
483	PF00664	COG1132
484	COG1132	PF00005
485	COG1132	PF00664
486	PF00005	PF00664
487	PF00005	COG1132
488	PF00664	PF00005
489	PF00664	COG1132
490	COG1132	PF00005
491	COG1132	PF00664
492	PF01061	PF00005
493	PF01061	COG1131
494	PF00005	PF01061
495	PF00005	COG1131
496	COG1131	PF01061
497	COG1131	PF00005
498	PF00005	PF00664
499	PF00005	COG1132
500	PF00664	PF00005
501	PF00664	COG1132
502	COG1132	PF00005
503	COG1132	PF00664
504	PF00005	PF00664
505	PF00005	COG1132
506	PF00664	PF00005
507	PF00664	COG1132
508	COG1132	PF00005
509	COG1132	PF00664
510	PF01061	PF00005
511	PF01061	COG1131
512	PF00005	PF01061
513	PF00005	COG1131
514	COG1131	PF01061
515	COG1131	PF00005
516	PF00005	COG4586
517	COG4586	PF00005
518	PF01061	PF00005
519	PF01061	COG1131
520	PF00005	PF01061
521	PF00005	COG1131
522	COG1131	PF01061
523	COG1131	PF00005
524	PF00005	COG5265
525	PF00005	PF00664
526	COG5265	PF00005
527	COG5265	PF00664
528	PF00664	PF00005
529	PF00664	COG5265
530	PF01061	PF00005
531	PF01061	COG1131
532	PF00005	PF01061
533	PF00005	COG1131
534	COG1131	PF01061
535	COG1131	PF00005
536	PF00005	PF00664
537	PF00005	COG1132
538	PF00664	PF00005
539	PF00664	COG1132
540	COG1132	PF00005
541	COG1132	PF00664
542	COG4178	PF00005
543	COG4178	PF06472
544	PF00005	COG4178
545	PF00005	PF06472
546	PF06472	COG4178
547	PF06472	PF00005
548	COG0488	PF00005
549	COG0488	PF12848
550	PF00005	COG0488
551	PF00005	PF12848
552	PF12848	COG0488
553	PF12848	PF00005
554	PF00005	PF01061
555	PF00005	TIGR00955
556	PF00005	COG1131
557	PF01061	PF00005
558	PF01061	TIGR00955
559	PF01061	COG1131
560	TIGR00955	PF00005
561	TIGR00955	PF01061
562	TIGR00955	COG1131
563	COG1131	PF00005
564	COG1131	PF01061
565	COG1131	TIGR00955
566	PF08370	PF14510
567	PF08370	COG1131
568	PF08370	PF01061
569	PF08370	PF00005
