	Node1	Node2
587	PF14510	PF08370
588	PF08370	COG0842
589	PF08370	PF00005
590	PF08370	PF01061
591	PF08370	PF14510
592	PF00005	PF00664
593	PF00005	COG1132
594	PF00664	PF00005
595	PF00664	COG1132
596	COG1132	PF00005
597	COG1132	PF00664
598	COG0842	PF14510
599	COG0842	PF00005
600	COG0842	PF08370
601	COG0842	COG1131
602	COG0842	PF01061
603	PF14510	COG0842
604	PF14510	PF00005
605	PF14510	PF08370
606	PF14510	COG1131
607	PF14510	PF01061
608	PF00005	COG0842
609	PF00005	PF14510
610	PF00005	PF08370
611	PF00005	COG1131
612	PF00005	PF01061
613	PF08370	COG0842
614	PF08370	PF14510
615	PF08370	PF00005
616	PF08370	COG1131
617	PF08370	PF01061
618	COG1131	COG0842
619	COG1131	PF14510
620	COG1131	PF00005
621	COG1131	PF08370
622	COG1131	PF01061
623	PF01061	COG0842
624	PF01061	PF14510
625	PF01061	PF00005
626	PF01061	PF08370
627	PF01061	COG1131
628	PF08370	PF00005
629	PF08370	PF01061
630	PF08370	PF14510
631	PF08370	COG1131
632	PF00005	PF08370
633	PF00005	PF01061
634	PF00005	PF14510
635	PF00005	COG1131
636	PF01061	PF08370
637	PF01061	PF00005
638	PF01061	PF14510
639	PF01061	COG1131
640	PF14510	PF08370
641	PF14510	PF00005
642	PF14510	PF01061
643	PF14510	COG1131
644	COG1131	PF08370
645	COG1131	PF00005
646	COG1131	PF01061
647	COG1131	PF14510
648	COG0842	PF00005
649	COG0842	PF01061
650	COG0842	PF14510
651	COG0842	PF08370
652	PF00005	COG0842
653	PF00005	PF01061
654	PF00005	PF14510
655	PF00005	PF08370
656	PF01061	COG0842
657	PF01061	PF00005
658	PF01061	PF14510
659	PF01061	PF08370
660	PF14510	COG0842
661	PF14510	PF00005
662	PF14510	PF01061
663	PF14510	PF08370
664	PF08370	COG0842
665	PF08370	PF00005
666	PF08370	PF01061
667	PF08370	PF14510
668	COG0842	PF00005
669	COG0842	PF01061
670	COG0842	PF14510
671	COG0842	PF08370
672	PF00005	COG0842
673	PF00005	PF01061
674	PF00005	PF14510
675	PF00005	PF08370
676	PF01061	COG0842
677	PF01061	PF00005
678	PF01061	PF14510
679	PF01061	PF08370
680	PF14510	COG0842
681	PF14510	PF00005
682	PF14510	PF01061
683	PF14510	PF08370
684	PF08370	COG0842
685	PF08370	PF00005
686	PF08370	PF01061
687	PF08370	PF14510
688	COG0842	PF00005
689	COG0842	PF01061
690	COG0842	PF14510
691	COG0842	PF08370
692	PF00005	COG0842
693	PF00005	PF01061
694	PF00005	PF14510
695	PF00005	PF08370
696	PF01061	COG0842
697	PF01061	PF00005
698	PF01061	PF14510
699	PF01061	PF08370
700	PF14510	COG0842
701	PF14510	PF00005
702	PF14510	PF01061
703	PF14510	PF08370
704	PF08370	COG0842
705	PF08370	PF00005
706	PF08370	PF01061
707	PF08370	PF14510
708	COG0842	PF00005
709	COG0842	PF01061
710	COG0842	PF14510
711	COG0842	PF08370
712	PF00005	COG0842
713	PF00005	PF01061
714	PF00005	PF14510
715	PF00005	PF08370
716	PF01061	COG0842
717	PF01061	PF00005
718	PF01061	PF14510
719	PF01061	PF08370
720	PF14510	COG0842
721	PF14510	PF00005
722	PF14510	PF01061
723	PF14510	PF08370
724	PF08370	COG0842
725	PF08370	PF00005
726	PF08370	PF01061
727	PF08370	PF14510
728	COG0842	PF00005
729	COG0842	PF01061
730	COG0842	PF14510
731	COG0842	PF08370
732	PF00005	COG0842
733	PF00005	PF01061
734	PF00005	PF14510
735	PF00005	PF08370
736	PF01061	COG0842
737	PF01061	PF00005
738	PF01061	PF14510
739	PF01061	PF08370
740	PF14510	COG0842
741	PF14510	PF00005
742	PF14510	PF01061
743	PF14510	PF08370
744	PF08370	COG0842
745	PF08370	PF00005
746	PF08370	PF01061
747	PF08370	PF14510
748	COG0842	PF00005
749	COG0842	PF01061
750	COG0842	PF14510
751	COG0842	PF08370
752	PF00005	COG0842
753	PF00005	PF01061
754	PF00005	PF14510
755	PF00005	PF08370
756	PF01061	COG0842
757	PF01061	PF00005
758	PF01061	PF14510
759	PF01061	PF08370
760	PF14510	COG0842
761	PF14510	PF00005
762	PF14510	PF01061
763	PF14510	PF08370
764	PF08370	COG0842
765	PF08370	PF00005
766	PF08370	PF01061
767	PF08370	PF14510
768	PF08370	PF00005
769	PF08370	PF01061
770	PF08370	PF14510
771	PF08370	COG1131
772	PF00005	PF08370
773	PF00005	PF01061
774	PF00005	PF14510
775	PF00005	COG1131
776	PF01061	PF08370
777	PF01061	PF00005
778	PF01061	PF14510
779	PF01061	COG1131
780	PF14510	PF08370
781	PF14510	PF00005
782	PF14510	PF01061
783	PF14510	COG1131
784	COG1131	PF08370
785	COG1131	PF00005
786	COG1131	PF01061
787	COG1131	PF14510
788	COG0842	PF00005
789	COG0842	PF01061
790	COG0842	PF14510
791	COG0842	PF08370
792	PF00005	COG0842
793	PF00005	PF01061
794	PF00005	PF14510
795	PF00005	PF08370
796	PF01061	COG0842
797	PF01061	PF00005
798	PF01061	PF14510
799	PF01061	PF08370
800	PF14510	COG0842
801	PF14510	PF00005
802	PF14510	PF01061
803	PF14510	PF08370
804	PF08370	COG0842
805	PF08370	PF00005
806	PF08370	PF01061
807	PF08370	PF14510
808	COG0842	PF00005
809	COG0842	PF01061
810	COG0842	PF14510
811	COG0842	PF08370
812	PF00005	COG0842
813	PF00005	PF01061
814	PF00005	PF14510
815	PF00005	PF08370
816	PF01061	COG0842
817	PF01061	PF00005
818	PF01061	PF14510
819	PF01061	PF08370
820	PF14510	COG0842
821	PF14510	PF00005
822	PF14510	PF01061
823	PF14510	PF08370
824	PF08370	COG0842
825	PF08370	PF00005
826	PF08370	PF01061
827	PF08370	PF14510
828	COG0842	PF00005
829	COG0842	PF01061
830	COG0842	PF14510
831	COG0842	PF08370
832	PF00005	COG0842
833	PF00005	PF01061
834	PF00005	PF14510
835	PF00005	PF08370
836	PF01061	COG0842
837	PF01061	PF00005
838	PF01061	PF14510
839	PF01061	PF08370
840	PF14510	COG0842
841	PF14510	PF00005
842	PF14510	PF01061
843	PF14510	PF08370
844	PF08370	COG0842
845	PF08370	PF00005
846	PF08370	PF01061
847	PF08370	PF14510
848	COG0842	PF00005
849	COG0842	PF01061
850	COG0842	PF14510
851	COG0842	PF08370
852	PF00005	COG0842
853	PF00005	PF01061
854	PF00005	PF14510
855	PF00005	PF08370
856	PF01061	COG0842
857	PF01061	PF00005
858	PF01061	PF14510
859	PF01061	PF08370
860	PF14510	COG0842
861	PF14510	PF00005
862	PF14510	PF01061
863	PF14510	PF08370
864	PF08370	COG0842
865	PF08370	PF00005
866	PF08370	PF01061
867	PF08370	PF14510
868	PF00005	PF00664
869	PF00005	COG1132
870	PF00664	PF00005
871	PF00664	COG1132
872	COG1132	PF00005
873	COG1132	PF00664
874	PF00005	PF00664
875	PF00005	COG1132
876	PF00664	PF00005
877	PF00664	COG1132
878	COG1132	PF00005
879	COG1132	PF00664
880	PF00005	COG1131
881	COG1131	PF00005
882	PF00005	COG0488
883	COG0488	PF00005
884	COG0842	PF00005
885	COG0842	PF01061
886	COG0842	PF14510
887	COG0842	PF08370
888	PF00005	COG0842
889	PF00005	PF01061
890	PF00005	PF14510
891	PF00005	PF08370
892	PF01061	COG0842
893	PF01061	PF00005
894	PF01061	PF14510
895	PF01061	PF08370
896	PF14510	COG0842
897	PF14510	PF00005
898	PF14510	PF01061
899	PF14510	PF08370
900	PF08370	COG0842
901	PF08370	PF00005
902	PF08370	PF01061
903	PF08370	PF14510
904	PF00005	PF01061
905	PF00005	COG1131
906	PF01061	PF00005
907	PF01061	COG1131
908	COG1131	PF00005
909	COG1131	PF01061
910	COG0842	PF00005
911	COG0842	PF01061
912	COG0842	PF14510
913	COG0842	PF08370
914	PF00005	COG0842
915	PF00005	PF01061
916	PF00005	PF14510
917	PF00005	PF08370
918	PF01061	COG0842
919	PF01061	PF00005
920	PF01061	PF14510
921	PF01061	PF08370
922	PF14510	COG0842
923	PF14510	PF00005
924	PF14510	PF01061
925	PF14510	PF08370
926	PF08370	COG0842
927	PF08370	PF00005
928	PF08370	PF01061
929	PF08370	PF14510
930	COG0842	PF00005
931	COG0842	PF01061
932	COG0842	PF14510
933	COG0842	PF08370
934	PF00005	COG0842
935	PF00005	PF01061
936	PF00005	PF14510
937	PF00005	PF08370
938	PF01061	COG0842
939	PF01061	PF00005
940	PF01061	PF14510
941	PF01061	PF08370
942	PF14510	COG0842
943	PF14510	PF00005
944	PF14510	PF01061
945	PF14510	PF08370
946	PF08370	COG0842
947	PF08370	PF00005
948	PF08370	PF01061
949	PF08370	PF14510
950	COG0842	PF00005
951	COG0842	PF01061
952	COG0842	PF14510
953	COG0842	PF08370
954	PF00005	COG0842
955	PF00005	PF01061
956	PF00005	PF14510
957	PF00005	PF08370
958	PF01061	COG0842
959	PF01061	PF00005
960	PF01061	PF14510
961	PF01061	PF08370
962	PF14510	COG0842
963	PF14510	PF00005
964	PF14510	PF01061
965	PF14510	PF08370
966	PF08370	COG0842
967	PF08370	PF00005
968	PF08370	PF01061
969	PF08370	PF14510
970	COG0842	PF00005
971	COG0842	PF01061
972	COG0842	PF14510
973	COG0842	PF08370
974	PF00005	COG0842
975	PF00005	PF01061
976	PF00005	PF14510
977	PF00005	PF08370
978	PF01061	COG0842
979	PF01061	PF00005
980	PF01061	PF14510
981	PF01061	PF08370
982	PF14510	COG0842
983	PF14510	PF00005
984	PF14510	PF01061
985	PF14510	PF08370
986	PF08370	COG0842
987	PF08370	PF00005
988	PF08370	PF01061
989	PF08370	PF14510
990	PF00005	PF00664
991	PF00005	COG1132
992	PF00664	PF00005
993	PF00664	COG1132
994	COG1132	PF00005
995	COG1132	PF00664
996	COG0842	PF00005
997	COG0842	PF01061
998	COG0842	PF14510
999	COG0842	PF08370
1000	PF00005	COG0842
1001	PF00005	PF01061
1002	PF00005	PF14510
1003	PF00005	PF08370
1004	PF01061	COG0842
1005	PF01061	PF00005
1006	PF01061	PF14510
1007	PF01061	PF08370
