	Category0	Category1	Category2	Category3	Category4	Category5	Category6	Category7	Category8
T414	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T415	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T416	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T417	macromolecule localization/establishment of localization	protein localization/establishment of protein localization/transport	organic substance transport	Unclassified.organic substance transport	Unclassified.organic substance transport	Unclassified.organic substance transport	protein transport	Unclassified.protein transport	Unclassified.protein transport
T418	establishment of localization/single-organism localization/cellular localization/macromolecule localization	cellular macromolecule localization/establishment of localization in cell/intracellular transport/single-organism cellular localization/establishment of protein localization to mitochondrial membrane/establishment of protein localization/transport/single-organism transport/protein localization	transmembrane transport/organic substance transport/protein localization to membrane/mitochondrial transport/intracellular transport/intracellular protein transport/establishment of protein localization to mitochondrial membrane/protein import/single-organism intracellular transport/cellular protein localization/single-organism transport/protein transport/establishment of protein localization to organelle/establishment of protein localization to membrane	intracellular protein transmembrane transport/protein localization to membrane/intracellular protein transport/mitochondrial transmembrane transport/establishment of protein localization to mitochondrial membrane/protein import/protein localization to organelle/intracellular protein transmembrane import/establishment of protein localization to mitochondrion/single-organism intracellular transport/protein transport/protein transmembrane transport	intracellular protein transmembrane transport/protein localization to mitochondrion/establishment of protein localization to mitochondrial membrane/protein import/intracellular protein transmembrane import/protein transmembrane transport	intracellular protein transmembrane transport/intracellular protein transmembrane import	protein import into mitochondrial outer membrane	Unclassified.protein import into mitochondrial outer membrane	Unclassified.protein import into mitochondrial outer membrane
T419	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T420	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T421	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T422	single-organism localization/macromolecule localization/establishment of localization	protein localization/single-organism transport/establishment of protein localization/transport	secretion/transmembrane transport/protein transport/organic substance transport/single-organism transport	protein secretion/protein transport/secretion/protein transmembrane transport/secretion by cell	protein secretion/protein transmembrane transport/secretion by cell	protein secretion	protein secretion by the type VI secretion system	Unclassified.protein secretion by the type VI secretion system	Unclassified.protein secretion by the type VI secretion system
T423	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
