	Category0	Category1	Category2	Category3	Category4	Category5	Category6	Category7	Category8
T115	establishment of localization	transport	ion transport	cation transport	Unclassified.cation transport	Unclassified.cation transport	metal ion transport	Unclassified.metal ion transport	Unclassified.metal ion transport
T116	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T117	establishment of localization	transport	Unclassified.transport	Unclassified.transport	Unclassified.transport	Unclassified.transport	transmembrane transport/transport	Unclassified.transmembrane transport/transport	Unclassified.transmembrane transport/transport
T118	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T119	single-organism localization/establishment of localization	single-organism transport/transport	single-organism transport/hydrogen transport/ion transport	cation transport/hydrogen transport	monovalent inorganic cation transport	Unclassified.monovalent inorganic cation transport	cation transport/proton transport	Unclassified.cation transport/proton transport	Unclassified.cation transport/proton transport
T120	single-organism localization/establishment of localization	single-organism transport/transport	single-organism transport/organic substance transport/ion transport	Unclassified.single-organism transport/organic substance transport/ion transport	Unclassified.single-organism transport/organic substance transport/ion transport	Unclassified.single-organism transport/organic substance transport/ion transport	carbohydrate transport/cation transport	Unclassified.carbohydrate transport/cation transport	Unclassified.carbohydrate transport/cation transport
T121	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T122	establishment of localization	transport	ion transport	anion transport	inorganic anion transport	Unclassified.inorganic anion transport	molybdate ion transport	Unclassified.molybdate ion transport	Unclassified.molybdate ion transport
T123	single-organism localization/establishment of localization	single-organism transport/transport	carbohydrate transport/single-organism transport/organic substance transport	carbohydrate transport	Unclassified.carbohydrate transport	Unclassified.carbohydrate transport	polysaccharide transport	Unclassified.polysaccharide transport	Unclassified.polysaccharide transport
T124	single-organism localization/establishment of localization	single-organism transport/transport	sulfur compound transport/cofactor transport/organic substance transport/organophosphate ester transport/vitamin transport/nitrogen compound transport/single-organism transport	sulfur compound transport/azole transport/cofactor transport/organophosphate ester transport/vitamin transport	Unclassified.sulfur compound transport/azole transport/cofactor transport/organophosphate ester transport/vitamin transport	Unclassified.sulfur compound transport/azole transport/cofactor transport/organophosphate ester transport/vitamin transport	thiamine pyrophosphate transport/thiamine transport	Unclassified.thiamine pyrophosphate transport/thiamine transport	Unclassified.thiamine pyrophosphate transport/thiamine transport
T125	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T126	single-organism localization/establishment of localization	single-organism transport/transport	single-organism transport/carbohydrate derivative transport/lipid transport/organic substance transport	carbohydrate derivative transport/lipid transport	Unclassified.carbohydrate derivative transport/lipid transport	Unclassified.carbohydrate derivative transport/lipid transport	lipopolysaccharide transport	Unclassified.lipopolysaccharide transport	Unclassified.lipopolysaccharide transport
T127	establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	transport	Unclassified.transport	Unclassified.transport
T128	single-organism localization/establishment of localization	single-organism transport/transport	sulfur compound transport/single-organism transport	sulfur compound transport	Unclassified.sulfur compound transport	Unclassified.sulfur compound transport	sulfate transport	Unclassified.sulfate transport	Unclassified.sulfate transport
T129	single-organism localization/establishment of localization	single-organism transport/transport	sulfur compound transport/cofactor transport/organic substance transport/organophosphate ester transport/vitamin transport/nitrogen compound transport/single-organism transport	sulfur compound transport/azole transport/cofactor transport/organophosphate ester transport/vitamin transport	Unclassified.sulfur compound transport/azole transport/cofactor transport/organophosphate ester transport/vitamin transport	Unclassified.sulfur compound transport/azole transport/cofactor transport/organophosphate ester transport/vitamin transport	thiamine pyrophosphate transport/thiamine transport	Unclassified.thiamine pyrophosphate transport/thiamine transport	Unclassified.thiamine pyrophosphate transport/thiamine transport
T130	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T131	establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	transport	Unclassified.transport	Unclassified.transport
T132	single-organism localization/establishment of localization	single-organism transport/transport	single-organism transport/organic substance transport	Unclassified.single-organism transport/organic substance transport	Unclassified.single-organism transport/organic substance transport	Unclassified.single-organism transport/organic substance transport	organic phosphonate transport	Unclassified.organic phosphonate transport	Unclassified.organic phosphonate transport
T133	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T134	establishment of localization	transport	ion transport	Unclassified.ion transport	Unclassified.ion transport	Unclassified.ion transport	cation transport	Unclassified.cation transport	Unclassified.cation transport
T135	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T136	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T137	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T138	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T139	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T140	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T141	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T142	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T143	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T144	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T145	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T146	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED	UNCLASSIFIED
T147	establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	Unclassified.establishment of localization	transport	Unclassified.transport	Unclassified.transport
