	Node1	Node2
865	TIGR01417	PF02378
866	TIGR01417	PF00367
867	TIGR01417	PF00358
868	PF00005	PF00664
869	PF00005	COG1132
870	PF00664	PF00005
871	PF00664	COG1132
872	COG1132	PF00005
873	COG1132	PF00664
874	COG0577	PF00005
875	COG0577	PF02687
876	COG0577	COG1136
877	PF00005	COG0577
878	PF00005	PF02687
879	PF00005	COG1136
880	PF02687	COG0577
881	PF02687	PF00005
882	PF02687	COG1136
883	COG1136	COG0577
884	COG1136	PF00005
885	COG1136	PF02687
886	PF00528	COG1174
887	COG1174	PF00528
888	COG1320	PF03334
889	COG1320	TIGR01300
890	COG1320	COG2212
891	PF03334	COG1320
892	PF03334	TIGR01300
893	PF03334	COG2212
894	TIGR01300	COG1320
895	TIGR01300	PF03334
896	TIGR01300	COG2212
897	COG2212	COG1320
898	COG2212	PF03334
899	COG2212	TIGR01300
900	PF00005	PF01297
901	PF00005	COG0803
902	PF00005	COG1121
903	PF01297	PF00005
904	PF01297	COG0803
905	PF01297	COG1121
906	COG0803	PF00005
907	COG0803	PF01297
908	COG0803	COG1121
909	COG1121	PF00005
910	COG1121	PF01297
911	COG1121	COG0803
912	COG1687	PF05437
913	COG1687	COG1296
914	PF05437	COG1687
915	PF05437	COG1296
916	COG1296	COG1687
917	COG1296	PF05437
918	COG4555	PF00005
919	COG4555	COG1668
920	PF00005	COG4555
921	PF00005	COG1668
922	COG1668	COG4555
923	COG1668	PF00005
924	PF00528	COG1653
925	PF00528	PF01547
926	PF00528	COG0395
927	COG1653	PF00528
928	COG1653	PF01547
929	COG1653	COG0395
930	PF01547	PF00528
931	PF01547	COG1653
932	PF01547	COG0395
933	COG0395	PF00528
934	COG0395	COG1653
935	COG0395	PF01547
936	COG0306	PF01384
937	PF01384	COG0306
938	PF00528	PF00005
939	PF00528	TIGR01186
940	PF00528	COG1174
941	PF00528	COG1125
942	PF00005	PF00528
943	PF00005	TIGR01186
944	PF00005	COG1174
945	PF00005	COG1125
946	TIGR01186	PF00528
947	TIGR01186	PF00005
948	TIGR01186	COG1174
949	TIGR01186	COG1125
950	COG1174	PF00528
951	COG1174	PF00005
952	COG1174	TIGR01186
953	COG1174	COG1125
954	COG1125	PF00528
955	COG1125	PF00005
956	COG1125	TIGR01186
957	COG1125	COG1174
958	PF00528	PF00005
959	PF00528	TIGR01726
960	PF00528	COG1126
961	PF00528	COG0765
962	PF00005	PF00528
963	PF00005	TIGR01726
964	PF00005	COG1126
965	PF00005	COG0765
966	TIGR01726	PF00528
967	TIGR01726	PF00005
968	TIGR01726	COG1126
969	TIGR01726	COG0765
970	COG1126	PF00528
971	COG1126	PF00005
972	COG1126	TIGR01726
973	COG1126	COG0765
974	COG0765	PF00528
975	COG0765	PF00005
976	COG0765	TIGR01726
977	COG0765	COG1126
978	TIGR00974	COG0581
979	TIGR00974	COG1117
980	TIGR00974	PF00528
981	TIGR00974	PF00005
982	TIGR00974	TIGR00972
983	COG0581	TIGR00974
984	COG0581	COG1117
985	COG0581	PF00528
986	COG0581	PF00005
987	COG0581	TIGR00972
988	COG1117	TIGR00974
989	COG1117	COG0581
990	COG1117	PF00528
991	COG1117	PF00005
992	COG1117	TIGR00972
993	PF00528	TIGR00974
