Tr253			TIGR02314	COG1135|COG2011
Tr254		PF04120		
Tr255		PF04464		
Tr256		PF05977		
Tr257		PF01203		
Tr258			TIGR00831	COG0025
Tr259		PF04973	TIGR01528	COG3201
Tr26		PF07155|PF00375|PF12558|PF02361|PF02553	TIGR04520|TIGR01166|TIGR04521|TIGR02454|TIGR01165	COG1823|COG3633|COG1301|COG1122|COG0619|COG1930
Tr260			TIGR00771	COG3069
Tr261		PF11744		
Tr262		PF02690	TIGR00704|TIGR01013	COG1283
Tr263		PF10498		
Tr264			TIGR00983|TIGR00980	COG5596
Tr265		PF10766		
Tr266		PF05437		COG1687
Tr267		PF03739	TIGR04407|TIGR04408	COG0795
Tr268			TIGR01256|TIGR03730	COG0725
Tr269		PF04051		COG5128
Tr27		PF01514|PF09482|PF09392|PF09480|PF09477|PF17001	TIGR02544|TIGR02555|TIGR02105|TIGR02554|TIGR02508|TIGR02497	COG1766|COG4669
Tr270		PF01733	TIGR00939	
Tr271			TIGR04034	
Tr272				COG4146
Tr273		PF15171		
Tr274		PF15178		
Tr275		PF10642		
Tr276				COG2409
Tr277		PF10270		
Tr278		PF03773		COG0701
Tr279		PF16166	TIGR00994	
Tr28				COG1463
Tr280		PF08449		
Tr281		PF08566		
Tr282		PF10104		
Tr283			TIGR04056|TIGR04057	
Tr284		PF07931		COG3896
Tr285			TIGR04077	
Tr286		PF10337|PF10334		
Tr287		PF01885		COG1859
Tr288		PF00844		
Tr289		PF01366		
Tr29			TIGR00797	COG0534
Tr290		PF03619		
Tr291			TIGR00893	
Tr292			TIGR00896	COG2807
Tr293				COG1455
Tr294		PF03806	TIGR00819	COG2978
Tr295		PF01749		COG5064
Tr296		PF02064	TIGR00985	
Tr297		PF17000		
Tr298		PF00689|PF12424	TIGR01647|TIGR01523|TIGR01522|TIGR01106	COG0474
Tr299			TIGR01192|TIGR02203|TIGR00958	COG1132
Tr3			TIGR01729|TIGR01184|TIGR01183	COG4525|COG4521|COG0715|COG1116|COG0600
Tr30			TIGR00886	COG2223
Tr300		PF01891		COG0310
Tr301		PF06218		
Tr302				COG0834
Tr303		PF03612|PF07663		COG3732
Tr304		PF05008		
Tr31		PF07970		
Tr32		PF06558		
Tr33		PF12538|PF10140	TIGR03928|TIGR03926	
Tr34		PF16185		COG5265
Tr35		PF03082		
Tr36		PF01313|PF01311	TIGR01403|TIGR01401	COG4794|COG4791
Tr37		PF01226	TIGR04060|TIGR00790	COG2116
Tr38		PF03814|PF02669	TIGR01497|TIGR00680|TIGR00681	COG2216|COG2060|COG2156
Tr39		PF02386	TIGR00933|TIGR00934	COG0168|COG0569
Tr4		PF03666		
Tr40			TIGR03003|TIGR02995|TIGR03004|TIGR03005	
Tr41			TIGR01102|TIGR02551	COG4790|COG1886
Tr42		PF03865|PF16168|PF13018	TIGR04415	COG2831
Tr43			TIGR01727|TIGR02769|TIGR02770	COG4608|COG4170|COG0444|COG1124|COG4167
Tr44				COG4662
Tr45				COG4136|COG4135
Tr46			TIGR02857|TIGR02868	COG4988|COG4987
Tr47		PF00358|PF00367	TIGR01417	COG1264|COG1263|COG2190|COG1925
Tr48		PF03135|PF05101	TIGR00929	COG3451|COG3702
Tr49		PF09474|PF09621	TIGR01399|TIGR02568|TIGR02546|TIGR02502|TIGR02503|TIGR03496|TIGR03498|TIGR02511|TIGR02572	COG4789|COG1157
